"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL155188";"";"None";"251.42";"0";"3.81";"1f";"NCCCCCCCCCCCCc1c[nH]cn1";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"23.86";"0.46";"2.19";"10.97";"0";"CHEMBL692983";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"-6.0"
"CHEMBL329450";"";"None";"706.84";"2";"6.50";"1u";"COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4CCOc4ccco4)CC3)(c3ccccc3)C2)cc(OC)c1OC";"IC50";"'='";"446.0";"nM";"6.35";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL691452";"Antagonism of the human histamine H1 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150559";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"446.0"
"CHEMBL1172";"DESLORATADINE";"4.0";"310.83";"0";"4.02";"BDBM50073179";"Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1";"IC50";"'='";"16000.0";"nM";"4.80";"";"328083";"UO_0000065";"15.43";"0.30";"0.78";"19.25";"0";"CHEMBL3887282";"Histamine H1 Receptors Binding Assay: Affinities of the test compounds for peripheral human histamine H-1-receptors were assessed using receptor-binding assays. The specific binding of the radioactive ligand to the receptor was defined as the difference between total binding and nonspecific binding, determined in the presence of excess unlabeled ligand. [3H]-histamine was used as the ligand in this study and the affinity values were determined according to the Cheng-Prusoff equation.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886156";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"16000.0"
"CHEMBL1774505";"";"None";"514.63";"1";"2.45";"(Z)-19e";"Cn1c(N2CCN(CC/C=C3/c4ccccc4CCc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O";"IC50";"'='";"195.0";"nM";"6.71";"";"";"UO_0000065";"13.04";"0.24";"4.26";"7.64";"0";"CHEMBL1775250";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1772991";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3307512";"";"";"";"195.0"
"CHEMBL592753";"";"None";"322.43";"0";"4.32";"4(4)";"Cc1ccc2c(c1)c1c(n2CCc2ccc(F)cc2)CCN(C)C1";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1038010";"Antagonist activity at histamine H1 receptor in human SK-N-SH cells assessed as histamine-induced maximum intracellular calcium spike at phase 1 treated 10 to 15 seconds before histamine challenge";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307745";"";"";"";"0.03"
"CHEMBL599913";"";"None";"288.39";"0";"4.26";"(Z)-3(1)";"CN1CCc2c(c3ccccc3n2/C=C\c2ccccc2)C1";"IC50";"'='";"181.0";"nM";"6.74";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1038011";"Antagonist activity at histamine H1 receptor in human SK-N-SH cells assessed as reduction of histamine-induced intracellular calcium spike at phase 2 treated 20 to 30 seconds after histamine challenge";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307745";"";"";"";"0.181"
"CHEMBL591568";"";"None";"290.41";"0";"3.97";"(E)-3(1)";"CN1CCC2C(C1)c1ccccc1N2/C=C/c1ccccc1";"IC50";"'='";"345.0";"nM";"6.46";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1038010";"Antagonist activity at histamine H1 receptor in human SK-N-SH cells assessed as histamine-induced maximum intracellular calcium spike at phase 1 treated 10 to 15 seconds before histamine challenge";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-N-SH";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153163";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307745";"";"";"";"0.345"
"CHEMBL152221";"";"None";"305.51";"0";"4.95";"1k";"c1nc(CCCCCCCCCCCCN2CCCC2)c[nH]1";"IC50";"'='";"3981.07";"nM";"5.40";"";"";"UO_0000065";"17.68";"0.34";"0.45";"16.92";"0";"CHEMBL692983";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"-5.4"
"CHEMBL154566";"";"None";"220.36";"0";"3.31";"13a";"NCCCCCCCCCc1ccccn1";"IC50";"'='";"7943.28";"nM";"5.10";"";"";"UO_0000065";"23.14";"0.44";"1.79";"13.11";"0";"CHEMBL692983";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"-5.1"
"CHEMBL511";"PYRILAMINE";"4.0";"285.39";"0";"2.66";"pyrilamine";"COc1ccc(CN(CCN(C)C)c2ccccn2)cc1";"IC50";"'='";"1.3";"nM";"8.89";"";"";"UO_0000065";"31.14";"0.58";"6.23";"31.07";"0";"CHEMBL881989";"Percent inhibition against Histamine H1 receptor at 1 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140374";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"1.3"
