Smiles,Standard Value,Standard Units,Molecule ChEMBL ID,value_nm,LogP,TPSA,MW,pIC50
NCCCCCCCCCCCCc1c[nH]cn1,1000.0,nM,CHEMBL155188,1000.0,3.8119000000000023,54.7,251.41799999999998,6.0
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4CCOc4ccco4)CC3)(c3ccccc3)C2)cc(OC)c1OC,446.0,nM,CHEMBL329450,446.0,6.503000000000008,108.50000000000001,706.84,6.350665141287858
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,16000.0,nM,CHEMBL1172,16000.0,4.018900000000002,24.92,310.8280000000001,4.795880017344075
Cn1c(N2CCN(CC/C=C3/c4ccccc4CCc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O,195.0,nM,CHEMBL1774505,195.0,2.4537000000000004,87.78,514.6260000000003,6.709965388637482
Cc1ccc2c(c1)c1c(n2CCc2ccc(F)cc2)CCN(C)C1,30.0,nM,CHEMBL592753,30.0,4.319420000000004,8.17,322.42700000000013,7.522878745280337
CN1CCc2c(c3ccccc3n2/C=C\c2ccccc2)C1,181.0,nM,CHEMBL599913,181.0,4.257100000000003,8.17,288.39400000000006,6.7423214251308154
CN1CCC2C(C1)c1ccccc1N2/C=C/c1ccccc1,345.0,nM,CHEMBL591568,345.0,3.965200000000003,6.48,290.41,6.462180904926726
c1nc(CCCCCCCCCCCCN2CCCC2)c[nH]1,3981.07,nM,CHEMBL152221,3981.07,4.949000000000004,31.92,305.51,5.40000018605658
NCCCCCCCCCc1ccccn1,7943.28,nM,CHEMBL154566,7943.28,3.313500000000002,38.91,220.36,5.100000128334196
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1.3,nM,CHEMBL511,1.3,2.658400000000001,28.6,285.391,8.886056647693163
